videoname,trueValue,Ntcn
3Epinephelus,0.0,0.0
3Epinephelus_2,0.0,3.0
4Epinephelus,0.0,0.0
4Epinephelus_3,0.0,0.0
4Epinephelus_4,2.0,3.0
4Epinephelus_6,2.0,2.0
6Epinephelus,0.0,2.0
C0005,0.0,0.0
GH010003,3.0,1.0
GH010006,0.0,0.0
GH010040_3,0.0,0.0
GH010044_2,13.0,12.0
GH010049_1,0.0,0.0
GH010072_6,3.0,3.0
GH010112_2,0.0,0.0
GH010114_1,0.0,0.0
GH010144_1,0.0,0.0
GH010149,0.0,0.0
GH010154_1,0.0,0.0
GH010162,0.0,0.0
GH010178_1,0.0,0.0
GH010184,0.0,0.0
GH010199_2,0.0,1.0
GH010201_2,0.0,0.0
GH010205_2,0.0,0.0
GH010206_2,1.0,0.0
GH010207,0.0,0.0
GH010211_2,0.0,0.0
GH010220_2,5.0,3.0
GH010221_2,2.0,1.0
GH010263,0.0,0.0
GH010265_1,0.0,0.0
GH010266,0.0,0.0
GH010267_1,0.0,0.0
GH010270_1,0.0,0.0
GH010271_1,0.0,0.0
GH010275_1,0.0,0.0
GH010275_2,0.0,0.0
GH010281,0.0,0.0
GH010311,0.0,0.0
GH010315,0.0,1.0
GH010374,0.0,0.0
GH010388,0.0,0.0
GOPR0064_2,0.0,0.0
GOPR0212_2,2.0,2.0
GOPR0479_2,0.0,0.0
GOPR0488_2,0.0,0.0
GOPR0496_2,0.0,0.0
GOPR0498_2,0.0,0.0
GX010437,0.0,0.0
GX010485,0.0,0.0
GX010492,0.0,0.0
GX010520,0.0,0.0
GX010528,0.0,0.0
GX010556,0.0,0.0
